Timeseries,Q_obs,NuiLe,GiaUi_Local,Junction1,Junction2,Reach1,Sink1
2019-03-01,0.0,3.173668595508496e-05,1.6664278393759697e-05,3.173668595508496e-05,4.841303801117892e-05,3.174875961741923e-05,4.841303801117892e-05
2019-03-02,0.0,3.141931909553411e-05,1.64976356098221e-05,3.141931909553411e-05,4.79292893497161e-05,3.1431653739894e-05,4.79292893497161e-05
2019-03-03,0.0,3.110512590457877e-05,1.633265925372388e-05,3.110512590457877e-05,4.744966008473492e-05,3.1117000831011035e-05,4.744966008473492e-05
2019-03-04,0.0,3.0794074645532984e-05,1.616933266118664e-05,3.0794074645532984e-05,4.697545989532979e-05,3.0806127234143146e-05,4.697545989532979e-05
2019-03-05,0.0,3.0486133899077656e-05,1.6007639334574774e-05,3.0486133899077656e-05,4.650544409782889e-05,3.0497804763254113e-05,4.650544409782889e-05
2019-03-06,0.0,3.018127256008688e-05,1.5847562941229028e-05,3.018127256008688e-05,4.604061982570225e-05,3.019305688447322e-05,4.604061982570225e-05
2019-03-07,0.0,2.9879459834486006e-05,1.5689087311816738e-05,2.9879459834486006e-05,4.55800108020438e-05,2.9890923490227066e-05,4.55800108020438e-05
2019-03-08,0.0,2.9580665236141145e-05,1.553219643869857e-05,2.9580665236141145e-05,4.512438942430405e-05,2.959219298560548e-05,4.512438942430405e-05
2019-03-09,0.0,2.9284858583779735e-05,1.5376874474311583e-05,2.9284858583779735e-05,4.46729880324645e-05,2.9296113558152914e-05,4.46729880324645e-05
2019-03-10,0.0,2.899200999794194e-05,1.5223105729568467e-05,2.899200999794194e-05,4.422639693943886e-05,2.9003291209870393e-05,4.422639693943886e-05
2019-03-11,0.0,2.870208989796252e-05,1.5070874672272785e-05,2.870208989796252e-05,4.3784010670309166e-05,2.871313599803638e-05,4.3784010670309166e-05
2019-03-12,0.0,2.84150689989829e-05,1.4920165925550056e-05,2.84150689989829e-05,4.334627833445661e-05,2.8426112408906556e-05,4.334627833445661e-05
2019-03-13,0.0,2.813091830899307e-05,1.4770964266294554e-05,2.813091830899307e-05,4.2912720583153244e-05,2.8141756316858686e-05,4.2912720583153244e-05
2019-03-14,0.0,2.7849609125903133e-05,1.4623254623631611e-05,2.7849609125903133e-05,4.248367706333842e-05,2.7860422439706806e-05,4.248367706333842e-05
2019-03-15,0.0,2.7571113034644105e-05,1.4477022077395293e-05,2.7571113034644105e-05,4.2058766548365564e-05,2.758174447097027e-05,4.2058766548365564e-05
2019-03-16,0.0,2.7295401904297662e-05,1.4332251856621339e-05,2.7295401904297662e-05,4.163824386658906e-05,2.7305992009967725e-05,4.163824386658906e-05
2019-03-17,0.0,2.7022447885254685e-05,1.4188929338055127e-05,2.7022447885254685e-05,4.1221804164108395e-05,2.7032874826053265e-05,4.1221804164108395e-05
2019-03-18,0.0,2.675222340640214e-05,1.4047040044674577e-05,2.675222340640214e-05,4.08096365834925e-05,2.676259653881792e-05,4.08096365834925e-05
2019-03-19,0.0,2.6484701172338116e-05,1.3906569644227829e-05,2.6484701172338116e-05,4.040149575126858e-05,2.649492610704075e-05,4.040149575126858e-05
2019-03-20,0.0,2.621985416061474e-05,1.3767503947785548e-05,2.621985416061474e-05,3.9997519977655595e-05,2.6230016029870046e-05,3.9997519977655595e-05
2019-03-21,0.0,2.5957655619008592e-05,1.3629828908307693e-05,2.5957655619008592e-05,3.959751024892289e-05,2.5967681340615194e-05,3.959751024892289e-05
2019-03-22,0.0,2.5698079062818508e-05,1.349353061922462e-05,2.5698079062818508e-05,3.920156557344124e-05,2.5708034954216623e-05,3.920156557344124e-05
2019-03-23,0.0,2.5441098272190318e-05,1.3358595313032373e-05,2.5441098272190318e-05,3.880952310534719e-05,2.545092779231482e-05,3.880952310534719e-05
2019-03-24,0.0,2.5186687289468422e-05,1.3225009359902049e-05,2.5186687289468422e-05,3.8421451501416024e-05,2.5196442141513974e-05,3.8421451501416024e-05
2019-03-25,0.0,2.4934820416573733e-05,1.3092759266303029e-05,2.4934820416573733e-05,3.803721616611914e-05,2.494445689981611e-05,3.803721616611914e-05
2019-03-26,0.0,2.4685472212408e-05,1.2961831673639999e-05,2.4685472212408e-05,3.76568623513462e-05,2.46950306777062e-05,3.76568623513462e-05
2019-03-27,0.0,2.443861749028392e-05,1.2832213356903598e-05,2.443861749028392e-05,3.7280277560506245e-05,2.4448064203602643e-05,3.7280277560506245e-05
2019-03-28,0.0,2.4194231315381084e-05,1.2703891223334562e-05,2.4194231315381084e-05,3.6907489031592095e-05,2.4203597808257532e-05,3.6907489031592095e-05
2019-03-29,0.0,2.395228900222727e-05,1.2576852311101217e-05,2.395228900222727e-05,3.6538401587054424e-05,2.396154927595321e-05,3.6538401587054424e-05
2019-03-30,0.0,2.3712766112204996e-05,1.2451083787990204e-05,2.3712766112204996e-05,3.6173028633997314e-05,2.372194484600711e-05,3.6173028633997314e-05
2019-03-31,0.0,2.347563845108295e-05,1.2326572950110303e-05,2.347563845108295e-05,3.581128859907686e-05,2.348471564896656e-05,3.581128859907686e-05
2019-04-01,0.0,0.08942433852364517,0.03207672179158407,0.08942433852364517,0.11502938001946439,0.08295265822788032,0.11502938001946439
2019-04-02,0.0,0.0027046683306663727,0.0007297831407798926,0.0027046683306663727,0.015414895723652546,0.014685112582872653,0.015414895723652546
2019-04-03,0.29,0.0026776216473597086,7.288275955848273e-05,0.0026776216473597086,-0.007804736892798261,-0.007877619652356744,-0.007804736892798261
2019-04-04,0.0,0.0026508454308861113,7.215393196289791e-05,0.0026508454308861113,0.012026244253642536,0.011954090321679638,0.012026244253642536
2019-04-05,0.0,0.0026243369765772506,7.143239264326894e-05,0.0026243369765772506,-0.005500355727647851,-0.00557178812029112,-0.005500355727647851
2019-04-06,0.0,0.002598093606811478,7.071806871683625e-05,0.002598093606811478,0.009893158550398386,0.009822440481681549,0.009893158550398386
2019-04-07,0.0,0.0025721126707433633,7.001088802966788e-05,0.0025721126707433633,-0.003722109289493245,-0.0037921201775229126,-0.003722109289493245
2019-04-08,0.0,0.00254639154403593,6.931077914937119e-05,0.00254639154403593,0.008225743093980175,0.008156432314830804,0.008225743093980175
2019-04-09,0.0,0.00252092762859557,6.861767135787749e-05,0.00252092762859557,-0.002352194162478618,-0.0024208118338364957,-0.002352194162478618
2019-04-10,0.0,0.0024957183523096147,6.793149464429873e-05,0.0024957183523096147,0.006920148627705576,0.006852217133061277,0.006920148627705576
2019-04-11,0.0,0.0024707611687865183,6.725217969785573e-05,0.0024707611687865183,-0.0012991382756937899,-0.0013663904553916457,-0.0012991382756937899
2019-04-12,0.0,0.22088925394429573,0.07837312134840989,0.22088925394429573,0.28683250599488497,0.2084593846464751,0.28683250599488497
2019-04-13,0.0,0.08938344122131385,0.05016991556158052,0.08938344122131385,0.16002621367767492,0.1098562981160944,0.16002621367767492
2019-04-14,0.0,0.011289671743832556,0.024794400252090218,0.011289671743832556,0.023696495209274276,-0.0010979050428159415,0.023696495209274276
2019-04-15,0.0,0.01117677502639423,0.006966314742236217,0.01117677502639423,0.029067227750400496,0.022100913008164278,0.029067227750400496
2019-04-16,0.0,0.011065007276130289,0.0003565638569851476,0.011065007276130289,0.0018032826201874125,0.0014467187632022649,0.0018032826201874125
2019-04-17,0.0,0.010954357203368984,0.0003529982184152962,0.010954357203368984,0.01979102661212838,0.019438028393713083,0.01979102661212838
2019-04-18,0.0,0.010844813631335295,0.0003494682362311433,0.010844813631335295,0.0037263781452814932,0.0033769099090503497,0.0037263781452814932
2019-04-19,0.0,0.010736365495021943,0.00034597355386883184,0.010736365495021943,0.017670926071985324,0.017324952518116492,0.017670926071985324
2019-04-20,0.0,0.010629001840071723,0.0003425138183301435,0.010629001840071723,0.005173407318523843,0.0048308935001937,0.005173407318523843
2019-04-21,0.0,0.010522711821671004,0.00033908868014684204,0.010522711821671004,0.015978803188511453,0.01563971450836461,0.015978803188511453
2019-04-22,0.0,0.010417484703454294,0.0003356977933453737,0.010417484703454294,0.006251683507485611,0.005915985714140237,0.006251683507485611
2019-04-23,0.0,0.01031330985641975,0.00033234081541191993,0.01031330985641975,0.014619924650232314,0.014287583834820393,0.014619924650232314
2019-04-24,0.0,0.010210176757855556,0.00032901740725780075,0.010210176757855556,0.00704451915404536,0.006715501746787559,0.00704451915404536
2019-04-25,0.0,0.010108074990276997,0.00032572723318522275,0.010108074990276997,0.013520710177842525,0.013194982944657303,0.013520710177842525
2019-04-26,0.0,0.010006994240374227,0.0003224699608533706,0.010006994240374227,0.007616589911513119,0.007294119950659749,0.007616589911513119
2019-04-27,0.0,0.009906924297970486,0.00031924526124483686,0.009906924297970486,0.012624005565648126,0.012304760304403289,0.012624005565648126
2019-04-28,0.0,0.009807855054990782,0.0003160528086323885,0.009807855054990782,0.008018099986969939,0.00770204717833755,0.008018099986969939
2019-04-29,0.0,0.009709776504440874,0.0003128922805460646,0.009709776504440874,0.011885412105474516,0.011572519824928452,0.011885412105474516
2019-04-30,0.0242592592592566,0.009612678739396465,0.0003097633577406039,0.009612678739396465,0.008288016597896531,0.007978253240155928,0.008288016597896531
2019-05-01,0.23,0.009516551952002501,0.0003066657241631979,0.009516551952002501,0.011270436310828654,0.010963770586665457,0.011270436310828654
2019-05-02,0.0242592592592617,0.009421386432482476,0.00030359906692156594,0.009421386432482476,0.008456581579334616,0.00815298251241305,0.008456581579334616
2019-05-03,0.14,0.009327172568157653,0.0003005630762523503,0.009327172568157653,0.010752276619200972,0.010451713542948621,0.010752276619200972
2019-05-04,0.0,0.31724750195898477,0.11070150347908812,0.31724750195898477,0.4046678977646328,0.29396639428554466,0.4046678977646328
2019-05-05,0.08,0.19497933245448074,0.09358127532844077,0.19497933245448074,0.3179268974730106,0.22434562214456988,0.3179268974730106
2019-05-06,0.0,0.08661179750597264,0.06827459478984349,0.08661179750597264,0.13685339784795608,0.06857880305811259,0.13685339784795608
2019-05-07,0.0,0.041408670523715746,0.054867318807052,0.041408670523715746,0.11543893774160371,0.06057161893455171,0.11543893774160371
2019-05-08,0.08,0.025378574726906727,0.0346733067154775,0.025378574726906727,0.044325849134274585,0.009652542418797087,0.044325849134274585
2019-05-09,0.0242592592592617,0.025124788979637668,0.027692860482410493,0.025124788979637668,0.06669384215592654,0.039000981673516046,0.06669384215592654
2019-05-10,0.0242592592592566,0.29493358257528574,0.12287638194303208,0.29493358257528574,0.3860509377233417,0.2631745557803096,0.3860509377233417
2019-05-11,0.7187037037037068,0.7199089971142276,0.29708395708421814,0.7199089971142276,1.0142153894274621,0.717131432343244,1.0142153894274621
2019-05-12,0.14,0.5523910375273972,0.2935884078144215,0.5523910375273972,0.8605535626203321,0.5669651548059106,0.8605535626203321
2019-05-13,0.14,0.35045545423320523,0.2576940448116742,0.35045545423320523,0.6099247383212729,0.35223069350959874,0.6099247383212729
2019-05-14,0.14,0.23668180803377223,0.23219177937362012,0.23668180803377223,0.47554524462574677,0.24335346525212664,0.47554524462574677
2019-05-15,0.14,0.14751002356286352,0.20392703948028768,0.14751002356286352,0.3520130704941863,0.1480860310138986,0.3520130704941863
2019-05-16,0.14,0.1609336092553113,0.2040761018556582,0.1609336092553113,0.36353040688547217,0.15945430502981398,0.36353040688547217
2019-05-17,0.14,0.09475170255601749,0.1770325838903501,0.09475170255601749,0.27787871989244417,0.10084613600209408,0.27787871989244417
2019-05-18,0.0,0.08171026271318571,0.14840338704612724,0.08171026271318571,0.22568728050895376,0.0772838934628265,0.22568728050895376
2019-05-19,0.08,0.08089316008605385,0.12317929331326669,0.08089316008605385,0.20803213124694975,0.08485283793368305,0.20803213124694975
2019-05-20,0.08,0.08008422848519331,0.09897214347225688,0.08008422848519331,0.17562565140561331,0.07665350793335643,0.17562565140561331
2019-05-21,0.3114814814814817,0.34630714291530074,0.18887385824031014,0.34630714291530074,0.5189324516710772,0.33005859343076704,0.5189324516710772
2019-05-22,0.2057407407407383,0.5697451792422994,0.28686158710376336,0.5697451792422994,0.8547504920966869,0.5678889049929234,0.8547504920966869
2019-05-23,0.2057407407407434,0.3845168589079026,0.25589734055307833,0.3845168589079026,0.6554585149805587,0.3995611744274804,0.6554585149805587
2019-05-24,0.09,0.26848678009200594,0.23012358474005568,0.26848678009200594,0.4937526186757776,0.2636290339357219,0.4937526186757776
2019-05-25,0.09,0.179176274879789,0.2021459524823741,0.179176274879789,0.3920680174972363,0.1899220650148622,0.3920680174972363
2019-05-26,1.0159259259259217,0.2349108280834258,0.21779505523622578,0.2349108280834258,0.43920207531377276,0.22140702007754698,0.43920207531377276
2019-05-27,1.0159259259259268,0.5731080029294442,0.3396714631973164,0.5731080029294442,0.9001971764815977,0.5605257132842814,0.9001971764815977
2019-05-28,0.09,0.3982002674623021,0.3066493380317885,0.3982002674623021,0.728598613522051,0.4219492754902625,0.728598613522051
2019-05-29,0.09,0.34067950120611146,0.29744483683693435,0.34067950120611146,0.6213605414266298,0.32391570458969543,0.6213605414266298
2019-05-30,0.09,0.43010787924322624,0.33452870584454036,0.43010787924322624,0.7729352229452315,0.43840651710069123,0.7729352229452315
2019-05-31,0.09,0.28588226487932605,0.2948276673027472,0.28588226487932605,0.5838375521442614,0.28900988484151413,0.5838375521442614
2019-06-01,0.09,0.18748693993485133,0.25759207343881385,0.18748693993485133,0.4494457221373978,0.19185364869858396,0.4494457221373978
2019-06-02,0.09,0.14880055809143683,0.23191475884005316,0.14880055809143683,0.37966784448482666,0.1477530856447735,0.37966784448482666
2019-06-03,0.09,0.14731255251052247,0.20783359339933014,0.14731255251052247,0.35617689719207785,0.1483433037927477,0.35617689719207785
2019-06-04,0.09,0.27623036902854525,0.24237034292227616,0.27623036902854525,0.5083601314487942,0.2659897885265181,0.5083601314487942
2019-06-05,0.09,0.20943239140386544,0.21876547877668667,0.20943239140386544,0.4420573604633843,0.22329188168669759,0.4420573604633843
2019-06-06,0.09,0.3199531715846361,0.25266187743572255,0.3199531715846361,0.5524014996503905,0.299739622214668,0.5524014996503905
